mode,id,memory_used,timestamp,init,billed,memory_max,duration
embedded,34469846952709822766386787107942550611740013358105559066,84,1545681395211,,100,256,26.41
embedded,34469844110212238271276500088396281766415418100391804944,83,1545681267749,,100,256,33.56
embedded,34469855932060275464345134287453022658625707210569678873,82,1545681797859,,100,256,12.6
embedded,34469889603777044764144772528412528267479212271308832837,84,1545683307751,,100,256,97.82
interactive,34469751659016402256806015243874565553091514694424592472,48,1545677122094,,100,256,35.68
embedded,34469870027870699061184349103459010192248384754084610100,83,1545682429937,,100,256,46.81
interactive,34469732534075725958531853012103002088222034630540132432,48,1545676264502,,100,256,54.55
embedded,34469838495352912930434735831671355570695240788657242128,81,1545681015970,,100,256,13.96
embedded,34469886772184524671115960231586547155541178924208553995,87,1545683180778,1000.1,1100,256,32.85
embedded,34469875630241607090848964402224022394249132432838361131,84,1545682681156,,100,256,40.19
interactive,34469743327056582672191657904048725413419015702544908330,48,1545676748476,,100,256,5.68
interactive,34469762681917941967316544731874404872613477428022149207,49,1545677616378,,100,256,34.22
embedded,34469867270182848556086021891362271182702880085237563483,81,1545682306278,,100,256,4.98
embedded,34469872867825998603662145084777173162264456105095528513,83,1545682557285,,100,256,20.88
embedded,34469861655903342590406053839503511122779443519014240333,83,1545682054525,,100,256,29
embedded,34469841322150772805779464156614163015343170857426419748,87,1545681142728,,100,256,38.64
interactive,34469740592561507173565178761105048194131988747484790848,48,1545676625857,,100,256,37.59
interactive,34469754285129856090573665911379708351281644243365199953,48,1545677239853,,100,256,24.13
interactive,34469748789490314581076612979317853866957685297859854383,48,1545676993420,,100,256,2.11
interactive,34469732556398771902261006776780256079143044498026528856,48,1545676265503,,100,256,33.81
embedded,34469841243652149706951670698408434695620938356375355403,87,1545681139208,990.15,1100,256,28.88
interactive,34469737814624580028201045745065015325934693618721947667,48,1545676501290,,100,256,52.63
interactive,34469737992138511808504805951689332776215651206326059097,48,1545676509250,,100,256,4.23
interactive,34469754104493819982475618464940390342829916044923830283,48,1545677231753,521.19,700,256,174.01
interactive,34469726856573607355017568353311595897359023582643945510,49,1545676009914,,100,256,22.71
embedded,34469838646997980280442973194114239824704099029324070973,81,1545681022770,,100,256,50.17
